~id;name; batch;unit;categorie;PA;PV;TxMO;label;product_code;Qty_production
v4;Œuf;1000;g;;2.3;;;MP;M0011;
v5;Farine T65;100000;g;;46;;;MP;M0001;
v6;Eau;1000;g;;0.002843;;;MP;M0029;
v7;Sucre Cristal;1000;g;;0.71;;;MP;M0012;
v8;Beurre Tourage;1000;g;;8.59;;;MP;M0018;
v9;Sel;1000;g;;0.185;;;MP;M0030;
v10;Levure Boulanger;504;g;;2.2;;;MP;M0032;
v11;Poudre de Lait;1000;g;;6.2;;;MP;M0033;
v12;Farine T45;100000;g;;89;;;MP;M0003;
v13;batons chocolat (POC);500;pcs;;5.8;;;MP;M0028;
v14;Raisins;1000;g;;2.7;;;MP;M0045;
v15;Poudre Creme;1000;g;;4.1316;;;MP;M0020;
v16;Lait;1000;g;;0.54;;;MP;M0016;
v17;Jaune Œuf;1000;g;;4.76408;;;MP;M0037;
v18;Beurre;1000;g;;6.8;;;MP;M0010;
v19;Fondant;1000;g;;0.89;;;MP;M0036;
v20;Farine T55;100000;g;;89;;;MP;M0002;
v32;Farine T65_tradition;100000;g;;46;;;MP;M0004;
v34;Tomate;1000;g;;1.99;;;MP;M0039;
v35;Salade;300;g;;1.23;;;MP;M0040;
v36;Thon;600;g;;3.6;;;MP;M0041;
v37;Mayonnaise;5000;g;;8.3;;;MP;M0042;
v45;Sucre Glace;1000;g;;0.98;;;MP;M0027;
v47;Nappage_blond;1000;g;;1.99;;;MP;M0025;
v49;Sucre_perle;1000;g;;1.89;;;MP;M0035;
v50;Sucre_Roux;1000;g;;1.87;;;MP;M0034;
v51;Sucre Vanille;1000;g;;8.17;;;MP;M0057;
v52;Sucre Muscovado;1000;g;;5;;;MP;M0062;
v53;Sucre Inverti;1000;g;;1.59;;;MP;M0066;
v56;Compote Pomme;4250;g;;10.07;;;MP;M0046;
v61;Amandes effilees;1000;g;;9.62;;;MP;M0051;
v66;Pepites chocolat;1000;g;;3.25;;;MP;M0052;
v71;Levure Chimique;1000;g;;6.15;;;MP;M0053;
v72;Huile pepin raisin;1000;g;;3.19;;;MP;M0054;
v73;Vanille liquide;500;g;;35.65;;;MP;M0049;
v80;Margarine ;1000;g;;2.38;;;MP;M0055;
v83;Noisettes;1000;g;;10.04;;;MP;M0024;
v91;Feve;100;pcs;;40.95;;;MP;M0056;
v101;Poudre Amande;1000;g;;5.85;;;MP;M0047;
v102;Miel (standard);1000;g;;5.4;;;MP;M0063;
v103;Blanc Oeuf;1000;g;;2.7032;;;MP;M0038;
v105;jus de citron;1000;g;;1.88;;;MP;M0064;
v106;zeste citron;400;pcs;;13.01685;;;MP;M0061;
v107;Gelatine;1000;g;;27;;;MP;M0065;
v113;Creme liquide;1000;g;;3.15;;;MP;M0026;
v114;Chocolat patissier;1000;g;;9.63;;;MP;M0015;
v116;Poire;2380;g;;9.45;;;MP;M0067;
v120;Poudre noisette;1000;g;;8.97;;;MP;M0022;
v122;Praline noisette;1000;g;;8.34;;;MP;M0070;
v123;Chocolat lait;1000;g;;7.83;;;MP;M0069;
v124;Paillete feuilletine;1000;g;;8.85;;;MP;M0071;
v125;Glacage chocolat;1000;g;;9.75;;;MP;M0068;
v127;Rhum;1000;g;;2.65;;;MP;M0048;
v133;Pomme;1000;g;;1.25;;;MP;M0013;
v140;Nutella;1000;g;;7.2;;;MP;M0081;
v142;Confiture Framboise;1000;g;;5.8;;;MP;M0082;
v149;Pate de cacao;3000;g;;36.29;;;MP;M0078;
v153;extrait de cafe;1000;g;;27.65;;;MP;M0072;
v161;cacao en poudre;1000;g;;9.85;;;MP;M0079;
v162;noix de pecan;1000;g;;15.05;;;MP;M0080;
v169;Lardons;1000;g;;6.856;;;MP;M0073;
v170;Conte;1000;g;;8;;;MP;M0074;
v171;Noix Muscade;1000;g;;15.55;;;MP;M0021;
v181;Epinard;1000;g;;1.2;;;MP;M0075;
v182;Chevre;1000;g;;10.4;;;MP;M0076;
v189;Saumon;1000;g;;13.6;;;MP;M0077;
v206;Jambon;1000;g;;8.95;;;MP;M0083;
v207;Emmental;500;g;;4;;;MP;M0084;
v208;Poulet;1000;g;;8.3;;;MP;M0085;
v209;Rosette;1000;g;;8.01;;;MP;M0086;
v212;Eau de fleur oranger;1000;g;;2.51;;;MP;M0059;
v213;Canelle;600;g;;3.99;;;MP;M0060;
v215;Farine T80;100000;g;;89.5;;;MP;M0005;
v221;Farine Seigle;100000;g;;109.48;;;MP;M0006;
v225;Farine petit epautre;100000;g;;145.20;;;MP;M0007;
v229;Farine Viking/drakkar;100000;g;;143.50;;;MP;M0009;
v234;Farine Mais;100000;g;;60.96;;;MP;M0087;
v237;tomates confites;1000;g;;10.5;;;MP;M0088;
v238;chorizo;500;g;;5.698;;;MP;M0089;
v239;pavot;1000;g;;3.97;;;MP;M0090;
v242;farine 7 cereales;100000;g;;133;;;MP;M0091;
v245;farine sarrasin;1000;g;;3.26;;;MP;M0092;
v246;noix;1000;g;;10.12;;;MP;M0093;
v247;huile olive;1000;g;;4.25;;;MP;M0094;
v248;Fleur de sel;1000;g;;18.95;;;MP;M0095;
v249;olives;2000;g;;5.97;;;MP;M0096;
v250;parmesan;1000;g;;15.8;;;MP;M0097;
v251;Herbes de provence;500;g;;3.69;;;MP;M0098;
v252;abricot oreillon;480;g;;2.63;;;MP;M0099;
v253;Pralines;1000;g;;5.66;;;MP;M0100;
